Isolate,Location,Latitude,Longitude,Publication,Sequence_Type,Lab_Isolate,Other_info
BK471_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK473_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK476_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK478_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK481_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK483_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK485_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK486_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK488_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK498_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK501_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK505_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK507_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK51_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK513_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK514_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK516_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK517_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK520_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK521_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK543_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK550_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK555_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK556_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK557_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK558_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK559_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK563_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK57_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK570_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
